Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
24,"Αγορές αγαθών και υπηρεσιών",48.339.000,,
26,"Τόκοι",100.000,,
31,"Πάγια περιουσιακά στοιχεία",1.449.000,,
54,"Δάνεια",130.000,,
21,"Παροχές σε εργαζομένους",4.668.000,,
24,"Αγορές αγαθών και υπηρεσιών",205.000,,
31,"Πάγια περιουσιακά στοιχεία 4.000 STOP Σύνολο:",390.237.000,,
29,"Πιστώσεις υπό κατανομή",400.000,,
29,"Πιστώσεις υπό κατανομή",15.045.000,,
29,"Πιστώσεις υπό κατανομή",537.000,,
29,"Πιστώσεις υπό κατανομή",18.000,,
29,"Πιστώσεις υπό κατανομή 2.000.000 STOP Σύνολο:",18.000.000,,
29,"Πιστώσεις υπό κατανομή",672.000,,
29,"Πιστώσεις υπό κατανομή",512.000,,
29,"Πιστώσεις υπό κατανομή",16.000,,
21,"Παροχές σε εργαζομένους",2.831.342.000,,
22,"Κοινωνικές παροχές",77.846.000,,
23,"Μεταβιβάσεις",51.719.000,,
24,"Αγορές αγαθών και υπηρεσιών",530.721.000,,
27,"Λοιπές δαπάνες",1.337.000,,
29,"Πιστώσεις υπό κατανομή",38.092.000,,
31,"Πάγια περιουσιακά στοιχεία 2.529.943.000 STOP Σύνολο: 6.061.000.000 ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ ΠΙΣΤΩΣΕΙΣ ΚΑΤΑ ΜΕΙΖΟΝΑ ΚΑΤΗΓΟΡΙΑ ΔΑΠΑΝΗΣ ΤΑΚΤΙΚΟΣ ΠΡΟΫΠΟΛΟΓΙΣΜΟΣ",5.522.000,,
21,"Παροχές σε εργαζομένους",5.522.000,,
21,"Παροχές σε εργαζομένους",65.000,,
23,"Μεταβιβάσεις",35.537.000,,
24,"Αγορές αγαθών και υπηρεσιών",12.160.000,,
31,"Πάγια περιουσιακά στοιχεία",1.251.000,,
21,"Παροχές σε εργαζομένους",1.551.581.000,,
22,"Κοινωνικές παροχές",36.655.000,,
23,"Μεταβιβάσεις",1.230.000,,
24,"Αγορές αγαθών και υπηρεσιών",192.243.000,,
27,"Λοιπές δαπάνες",1.330.000,,
31,"Πάγια περιουσιακά στοιχεία",6.442.000,,
21,"Παροχές σε εργαζομένους",55.000,,
22,"Κοινωνικές παροχές",164.000,,
24,"Αγορές αγαθών και υπηρεσιών",2.202.000,,
31,"Πάγια περιουσιακά στοιχεία",2.000,,
21,"Παροχές σε εργαζομένους",525.119.000,,
22,"Κοινωνικές παροχές",10.312.000,,
23,"Μεταβιβάσεις",2.510.000,,
24,"Αγορές αγαθών και υπηρεσιών",99.900.000,,
27,"Λοιπές δαπάνες",7.000,,
31,"Πάγια περιουσιακά στοιχεία",4.401.000,,
21,"Παροχές σε εργαζομένους",711.243.000,,
22,"Κοινωνικές παροχές",12.659.000,,
23,"Μεταβιβάσεις",10.792.000,,
24,"Αγορές αγαθών και υπηρεσιών",200.894.000,,
31,"Πάγια περιουσιακά στοιχεία",19.476.000,,
22,"Κοινωνικές παροχές",18.056.000,,
23,"Μεταβιβάσεις",1.650.000,,
24,"Αγορές αγαθών και υπηρεσιών",16.405.000,,
29,"Πιστώσεις υπό κατανομή",38.092.000,,
31,"Πάγια περιουσιακά στοιχεία",2.498.271.000,,
21,"Παροχές σε εργαζομένους",28.683.000,,
24,"Αγορές αγαθών και υπηρεσιών",6.917.000,,
31,"Πάγια περιουσιακά στοιχεία",100.000,,
21,"Παροχές σε εργαζομένους 9.074.000 STOP Σύνολο:",6.061.000.000,,
29,"Πιστώσεις υπό κατανομή",26.000.000,,
29,"Πιστώσεις υπό κατανομή",7.400.000,,
29,"Πιστώσεις υπό κατανομή",11.500.000,,
29,"Πιστώσεις υπό κατανομή 100.000 STOP Σύνολο:",45.000.000,,
29,"Πιστώσεις υπό κατανομή",7.500.000,,
29,"Πιστώσεις υπό κατανομή",8.500.000,,
29,"Πιστώσεις υπό κατανομή",7.000.000,,
21,"Παροχές σε εργαζομένους",2.342.138.000,,
23,"Μεταβιβάσεις",4.158.244.000,,
24,"Αγορές αγαθών και υπηρεσιών",104.679.000,,
29,"Πιστώσεις υπό κατανομή",1.638.000,,
21,"Παροχές σε εργαζομένους",3.509.000,,
24,"Αγορές αγαθών και υπηρεσιών",75.000,,
21,"Παροχές σε εργαζομένους",3.247.000,,
23,"Μεταβιβάσεις",582.621.000,,
24,"Αγορές αγαθών και υπηρεσιών",72.690.000,,
21,"Παροχές σε εργαζομένους",4.291.000,,
23,"Μεταβιβάσεις",3.562.373.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.556.000,,
21,"Παροχές σε εργαζομένους",1.554.000,,
23,"Μεταβιβάσεις",13.250.000,,
24,"Αγορές αγαθών και υπηρεσιών",10.478.000,,
31,"Πάγια περιουσιακά στοιχεία",1.498.000,,
21,"Παροχές σε εργαζομένους",338.000,,
24,"Αγορές αγαθών και υπηρεσιών",614.000,,
31,"Πάγια περιουσιακά στοιχεία",56.000,,
21,"Παροχές σε εργαζομένους",9.075.000,,
24,"Αγορές αγαθών και υπηρεσιών",12.251.000,,
29,"Πιστώσεις υπό κατανομή",1.638.000,,
31,"Πάγια περιουσιακά στοιχεία",171.000,,
21,"Παροχές σε εργαζομένους",67.000,,
24,"Αγορές αγαθών και υπηρεσιών",15.000,,
21,"Παροχές σε εργαζομένους",1.869.497.000,,
21,"Παροχές σε εργαζομένους",360.557.000,,
21,"Παροχές σε εργαζομένους 90.003.000 STOP Σύνολο:",6.608.424.000,,
29,"Πιστώσεις υπό κατανομή",16.000.000,,
29,"Πιστώσεις υπό κατανομή 503.000.000 STOP Σύνολο:",519.000.000,,
29,"Πιστώσεις υπό κατανομή",46.000.000,,
21,"Παροχές σε εργαζομένους",543.684.000,,
23,"Μεταβιβάσεις",4.435.000,,
24,"Αγορές αγαθών και υπηρεσιών",29.167.000,,
29,"Πιστώσεις υπό κατανομή",70.000,,
21,"Παροχές σε εργαζομένους",1.180.000,,
24,"Αγορές αγαθών και υπηρεσιών",270.000,,
21,"Παροχές σε εργαζομένους",497.376.000,,
23,"Μεταβιβάσεις",4.428.000,,
24,"Αγορές αγαθών και υπηρεσιών",24.409.000,,
29,"Πιστώσεις υπό κατανομή",70.000,,
31,"Πάγια περιουσιακά στοιχεία",230.000,,
21,"Παροχές σε εργαζομένους",38.423.000,,
23,"Μεταβιβάσεις",6.000,,
24,"Αγορές αγαθών και υπηρεσιών",1.737.000,,
31,"Πάγια περιουσιακά στοιχεία",123.000,,
21,"Παροχές σε εργαζομένους",2.930.000,,
24,"Αγορές αγαθών και υπηρεσιών",1.690.000,,
21,"Παροχές σε εργαζομένους",1.972.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",684.000,,
31,"Πάγια περιουσιακά στοιχεία",74.000,,
21,"Παροχές σε εργαζομένους",1.803.000,,
24,"Αγορές αγαθών και υπηρεσιών",377.000,,
31,"Πάγια περιουσιακά στοιχεία 20.000 STOP Σύνολο:",577.803.000,,
29,"Πιστώσεις υπό κατανομή",14.000.000,,
29,"Πιστώσεις υπό κατανομή 53.000.000 STOP Σύνολο:",67.000.000,,
21,"Παροχές σε εργαζομένους",4.935.588.000,,
22,"Κοινωνικές παροχές",440.000,,
23,"Μεταβιβάσεις",530.338.000,,
24,"Αγορές αγαθών και υπηρεσιών",124.934.000,,
25,"Επιδοτήσεις",30.000,,
29,"Πιστώσεις υπό κατανομή",665.000,,
31,"Πάγια περιουσιακά στοιχεία",2.000.000,,
21,"Παροχές σε εργαζομένους",2.357.000,,
21,"Παροχές σε εργαζομένους",231.604.000,,
22,"Κοινωνικές παροχές",20.000,,
23,"Μεταβιβάσεις",3.395.000,,
24,"Αγορές αγαθών και υπηρεσιών",324.000,,
31,"Πάγια περιουσιακά στοιχεία",83.000,,
21,"Παροχές σε εργαζομένους",3.823.844.000,,
22,"Κοινωνικές παροχές",40.000,,
23,"Μεταβιβάσεις",41.038.000,,
24,"Αγορές αγαθών και υπηρεσιών",4.853.000,,
29,"Πιστώσεις υπό κατανομή",200.000,,
31,"Πάγια περιουσιακά στοιχεία",700.000,,
21,"Παροχές σε εργαζομένους",10.500,,
23,"Μεταβιβάσεις",4.000,,
24,"Αγορές αγαθών και υπηρεσιών",88.000,,
31,"Πάγια περιουσιακά στοιχεία",8.500,,
21,"Παροχές σε εργαζομένους",15.000,,
24,"Αγορές αγαθών και υπηρεσιών",294.000,,
31,"Πάγια περιουσιακά στοιχεία",35.000,,
21,"Παροχές σε εργαζομένους",6.500,,
24,"Αγορές αγαθών και υπηρεσιών",98.000,,
31,"Πάγια περιουσιακά στοιχεία",17.000,,
21,"Παροχές σε εργαζομένους",11.500,,
23,"Μεταβιβάσεις",4.000,,
24,"Αγορές αγαθών και υπηρεσιών",190.000,,
31,"Πάγια περιουσιακά στοιχεία",27.000,,
21,"Παροχές σε εργαζομένους",8.000,,
23,"Μεταβιβάσεις",6.000,,
24,"Αγορές αγαθών και υπηρεσιών",106.000,,
31,"Πάγια περιουσιακά στοιχεία",18.000,,
21,"Παροχές σε εργαζομένους",9.500,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",102.000,,
31,"Πάγια περιουσιακά στοιχεία",11.000,,
21,"Παροχές σε εργαζομένους",10.000,,
24,"Αγορές αγαθών και υπηρεσιών",93.000,,
31,"Πάγια περιουσιακά στοιχεία",11.000,,
21,"Παροχές σε εργαζομένους",10.000,,
24,"Αγορές αγαθών και υπηρεσιών",99.000,,
31,"Πάγια περιουσιακά στοιχεία",12.000,,
21,"Παροχές σε εργαζομένους",12.000,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",240.000,,
31,"Πάγια περιουσιακά στοιχεία",36.500,,
21,"Παροχές σε εργαζομένους",15.000,,
23,"Μεταβιβάσεις",39.000,,
24,"Αγορές αγαθών και υπηρεσιών",122.000,,
31,"Πάγια περιουσιακά στοιχεία",14.000,,
21,"Παροχές σε εργαζομένους",10.000,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",287.000,,
31,"Πάγια περιουσιακά στοιχεία",51.000,,
21,"Παροχές σε εργαζομένους",9.000,,
24,"Αγορές αγαθών και υπηρεσιών",104.000,,
31,"Πάγια περιουσιακά στοιχεία",31.000,,
21,"Παροχές σε εργαζομένους",13.000,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",120.000,,
31,"Πάγια περιουσιακά στοιχεία",12.000,,
21,"Παροχές σε εργαζομένους",121.500,,
23,"Μεταβιβάσεις",16.000,,
24,"Αγορές αγαθών και υπηρεσιών",16.500,,
21,"Παροχές σε εργαζομένους",27.000,,
23,"Μεταβιβάσεις",11.000,,
24,"Αγορές αγαθών και υπηρεσιών",6.000,,
21,"Παροχές σε εργαζομένους",28.500,,
23,"Μεταβιβάσεις",6.500,,
24,"Αγορές αγαθών και υπηρεσιών",10.000,,
21,"Παροχές σε εργαζομένους",54.000,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",12.000,,
21,"Παροχές σε εργαζομένους",61.500,,
23,"Μεταβιβάσεις",53.000,,
24,"Αγορές αγαθών και υπηρεσιών",2.000,,
21,"Παροχές σε εργαζομένους",71.000,,
23,"Μεταβιβάσεις",30.500,,
24,"Αγορές αγαθών και υπηρεσιών",13.500,,
21,"Παροχές σε εργαζομένους",32.500,,
23,"Μεταβιβάσεις",44.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.000,,
21,"Παροχές σε εργαζομένους",14.000,,
23,"Μεταβιβάσεις",14.000,,
24,"Αγορές αγαθών και υπηρεσιών",6.000,,
21,"Παροχές σε εργαζομένους",81.000,,
23,"Μεταβιβάσεις",18.000,,
24,"Αγορές αγαθών και υπηρεσιών",11.000,,
21,"Παροχές σε εργαζομένους",36.000,,
23,"Μεταβιβάσεις",7.500,,
24,"Αγορές αγαθών και υπηρεσιών",9.500,,
21,"Παροχές σε εργαζομένους",9.500,,
23,"Μεταβιβάσεις",3.500,,
24,"Αγορές αγαθών και υπηρεσιών",4.500,,
21,"Παροχές σε εργαζομένους",9.000,,
23,"Μεταβιβάσεις",9.000,,
24,"Αγορές αγαθών και υπηρεσιών",9.000,,
21,"Παροχές σε εργαζομένους",26.500,,
23,"Μεταβιβάσεις",12.000,,
24,"Αγορές αγαθών και υπηρεσιών",10.500,,
21,"Παροχές σε εργαζομένους",60.000,,
23,"Μεταβιβάσεις",7.500,,
24,"Αγορές αγαθών και υπηρεσιών",12.500,,
21,"Παροχές σε εργαζομένους",119.000,,
23,"Μεταβιβάσεις",12.000,,
24,"Αγορές αγαθών και υπηρεσιών",13.000,,
21,"Παροχές σε εργαζομένους",29.000,,
23,"Μεταβιβάσεις",2.500,,
24,"Αγορές αγαθών και υπηρεσιών",3.000,,
21,"Παροχές σε εργαζομένους",13.000,,
23,"Μεταβιβάσεις",2.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.000,,
21,"Παροχές σε εργαζομένους",112.500,,
23,"Μεταβιβάσεις",13.000,,
24,"Αγορές αγαθών και υπηρεσιών",14.500,,
21,"Παροχές σε εργαζομένους",10.000,,
23,"Μεταβιβάσεις",10.000,,
24,"Αγορές αγαθών και υπηρεσιών",11.000,,
21,"Παροχές σε εργαζομένους",159.500,,
23,"Μεταβιβάσεις",21.000,,
24,"Αγορές αγαθών και υπηρεσιών",14.000,,
21,"Παροχές σε εργαζομένους",7.000,,
23,"Μεταβιβάσεις",5.500,,
24,"Αγορές αγαθών και υπηρεσιών",9.000,,
21,"Παροχές σε εργαζομένους",68.500,,
23,"Μεταβιβάσεις",67.000,,
24,"Αγορές αγαθών και υπηρεσιών",22.500,,
21,"Παροχές σε εργαζομένους",57.000,,
23,"Μεταβιβάσεις",11.500,,
24,"Αγορές αγαθών και υπηρεσιών",16.500,,
21,"Παροχές σε εργαζομένους",27.500,,
23,"Μεταβιβάσεις",11.500,,
24,"Αγορές αγαθών και υπηρεσιών",15.000,,
21,"Παροχές σε εργαζομένους",38.000,,
23,"Μεταβιβάσεις",7.000,,
24,"Αγορές αγαθών και υπηρεσιών",7.000,,
21,"Παροχές σε εργαζομένους",17.000,,
23,"Μεταβιβάσεις",4.500,,
24,"Αγορές αγαθών και υπηρεσιών",8.000,,
21,"Παροχές σε εργαζομένους",12.000,,
23,"Μεταβιβάσεις",9.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.000,,
21,"Παροχές σε εργαζομένους",7.000,,
23,"Μεταβιβάσεις",2.000,,
24,"Αγορές αγαθών και υπηρεσιών",6.000,,
21,"Παροχές σε εργαζομένους",22.000,,
23,"Μεταβιβάσεις",6.500,,
24,"Αγορές αγαθών και υπηρεσιών",12.500,,
21,"Παροχές σε εργαζομένους",81.500,,
23,"Μεταβιβάσεις",7.000,,
24,"Αγορές αγαθών και υπηρεσιών",20.000,,
21,"Παροχές σε εργαζομένους",13.500,,
23,"Μεταβιβάσεις",11.000,,
24,"Αγορές αγαθών και υπηρεσιών",7.500,,
21,"Παροχές σε εργαζομένους",55.000,,
23,"Μεταβιβάσεις",7.000,,
24,"Αγορές αγαθών και υπηρεσιών",29.000,,
21,"Παροχές σε εργαζομένους",29.500,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",16.000,,
21,"Παροχές σε εργαζομένους",38.500,,
23,"Μεταβιβάσεις",16.000,,
24,"Αγορές αγαθών και υπηρεσιών",25.500,,
21,"Παροχές σε εργαζομένους",23.500,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",9.500,,
21,"Παροχές σε εργαζομένους",24.000,,
23,"Μεταβιβάσεις",7.500,,
24,"Αγορές αγαθών και υπηρεσιών",31.500,,
21,"Παροχές σε εργαζομένους",8.000,,
23,"Μεταβιβάσεις",3.500,,
24,"Αγορές αγαθών και υπηρεσιών",5.500,,
21,"Παροχές σε εργαζομένους",48.500,,
23,"Μεταβιβάσεις",16.000,,
24,"Αγορές αγαθών και υπηρεσιών",11.500,,
21,"Παροχές σε εργαζομένους",26.500,,
23,"Μεταβιβάσεις",12.000,,
24,"Αγορές αγαθών και υπηρεσιών",12.500,,
21,"Παροχές σε εργαζομένους",85.500,,
23,"Μεταβιβάσεις",11.000,,
24,"Αγορές αγαθών και υπηρεσιών",14.000,,
21,"Παροχές σε εργαζομένους",70.500,,
23,"Μεταβιβάσεις",8.000,,
24,"Αγορές αγαθών και υπηρεσιών",16.500,,
21,"Παροχές σε εργαζομένους",10.000,,
23,"Μεταβιβάσεις",11.500,,
24,"Αγορές αγαθών και υπηρεσιών",5.000,,
21,"Παροχές σε εργαζομένους",13.500,,
23,"Μεταβιβάσεις",5.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.500,,
21,"Παροχές σε εργαζομένους",45.500,,
23,"Μεταβιβάσεις",6.000,,
24,"Αγορές αγαθών και υπηρεσιών",10.500,,
21,"Παροχές σε εργαζομένους",148.500,,
23,"Μεταβιβάσεις",3.500,,
24,"Αγορές αγαθών και υπηρεσιών",8.500,,
21,"Παροχές σε εργαζομένους",33.500,,
23,"Μεταβιβάσεις",4.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.500,,
21,"Παροχές σε εργαζομένους",13.000,,
23,"Μεταβιβάσεις",9.000,,
24,"Αγορές αγαθών και υπηρεσιών",17.000,,
21,"Παροχές σε εργαζομένους",62.500,,
23,"Μεταβιβάσεις",9.500,,
24,"Αγορές αγαθών και υπηρεσιών",8.000,,
21,"Παροχές σε εργαζομένους",32.000,,
23,"Μεταβιβάσεις",9.000,,
24,"Αγορές αγαθών και υπηρεσιών",13.000,,
21,"Παροχές σε εργαζομένους",12.500,,
23,"Μεταβιβάσεις",5.500,,
24,"Αγορές αγαθών και υπηρεσιών",7.500,,
21,"Παροχές σε εργαζομένους",18.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",7.000,,
21,"Παροχές σε εργαζομένους",23.500,,
23,"Μεταβιβάσεις",8.000,,
24,"Αγορές αγαθών και υπηρεσιών",22.500,,
21,"Παροχές σε εργαζομένους",40.000,,
23,"Μεταβιβάσεις",7.000,,
24,"Αγορές αγαθών και υπηρεσιών",8.500,,
21,"Παροχές σε εργαζομένους",23.500,,
23,"Μεταβιβάσεις",2.000,,
24,"Αγορές αγαθών και υπηρεσιών",7.500,,
21,"Παροχές σε εργαζομένους",29.000,,
23,"Μεταβιβάσεις",35.000,,
24,"Αγορές αγαθών και υπηρεσιών",2.000,,
21,"Παροχές σε εργαζομένους",43.500,,
23,"Μεταβιβάσεις",24.000,,
24,"Αγορές αγαθών και υπηρεσιών",2.000,,
21,"Παροχές σε εργαζομένους",27.000,,
23,"Μεταβιβάσεις",23.000,,
24,"Αγορές αγαθών και υπηρεσιών",2.000,,
21,"Παροχές σε εργαζομένους",94.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",43.000,,
21,"Παροχές σε εργαζομένους",53.000,,
23,"Μεταβιβάσεις",2.000,,
24,"Αγορές αγαθών και υπηρεσιών",17.000,,
21,"Παροχές σε εργαζομένους",54.500,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",24.000,,
21,"Παροχές σε εργαζομένους",41.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",39.000,,
21,"Παροχές σε εργαζομένους",145.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",14.000,,
21,"Παροχές σε εργαζομένους",153.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",33.000,,
21,"Παροχές σε εργαζομένους",173.000,,
23,"Μεταβιβάσεις",3.500,,
24,"Αγορές αγαθών και υπηρεσιών",35.000,,
21,"Παροχές σε εργαζομένους",65.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",35.000,,
21,"Παροχές σε εργαζομένους",55.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",60.000,,
21,"Παροχές σε εργαζομένους",45.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",46.000,,
21,"Παροχές σε εργαζομένους",20.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",21.000,,
21,"Παροχές σε εργαζομένους",50.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",25.000,,
21,"Παροχές σε εργαζομένους",110.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",38.000,,
21,"Παροχές σε εργαζομένους",75.500,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",43.000,,
21,"Παροχές σε εργαζομένους",70.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",30.000,,
21,"Παροχές σε εργαζομένους",22.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",21.000,,
21,"Παροχές σε εργαζομένους",51.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",16.000,,
21,"Παροχές σε εργαζομένους",55.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",36.000,,
21,"Παροχές σε εργαζομένους",51.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",40.000,,
21,"Παροχές σε εργαζομένους",115.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",41.000,,
21,"Παροχές σε εργαζομένους",25.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",26.000,,
21,"Παροχές σε εργαζομένους",306.000,,
23,"Μεταβιβάσεις",8.000,,
24,"Αγορές αγαθών και υπηρεσιών",69.000,,
21,"Παροχές σε εργαζομένους",36.000,,
23,"Μεταβιβάσεις",1.500,,
24,"Αγορές αγαθών και υπηρεσιών",52.000,,
21,"Παροχές σε εργαζομένους",74.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",35.000,,
21,"Παροχές σε εργαζομένους",37.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",14.000,,
21,"Παροχές σε εργαζομένους",23.500,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",38.000,,
21,"Παροχές σε εργαζομένους",59.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",25.000,,
21,"Παροχές σε εργαζομένους",27.000,,
23,"Μεταβιβάσεις",2.500,,
24,"Αγορές αγαθών και υπηρεσιών",25.000,,
21,"Παροχές σε εργαζομένους",29.000,,
23,"Μεταβιβάσεις",1.000,,
24,"Αγορές αγαθών και υπηρεσιών",25.000,,
21,"Παροχές σε εργαζομένους",70.000,,
23,"Μεταβιβάσεις",1.000,,
